time_ns,word_index,tdata,tlast,tstrb
62845000,0,0000000000000031,0,ff
62855000,1,0032006801800090,0,ff
62865000,2,cd0860002e000204,0,ff
62875000,3,f13c01d62000a637,0,ff
63015000,4,0000af3bad086000,0,ff
66475000,5,697262202c796f4a,0,ff
69935000,6,7261707320746867,0,ff
73395000,7,76696420666f206b,0,ff
76855000,8,440a2c7974696e69,0,ff
77495000,9,2072657468677561,0,ff
80955000,10,6973796c4520666f,0,ff
84415000,11,657269460a2c6d75,0,ff
87875000,12,64657269736e692d,0,ff
88515000,13,6165727420657720,0,ff
89155000,14,8105483500000000,1,ff
