time_ns,iq_count,byte_count,byte
32705000,631,0,eb
32785000,633,1,04
32865000,634,2,02
40635000,790,0,02
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,c0
41035000,798,5,03
55465000,1086,0,04
55545000,1088,1,02
55625000,1090,2,00
55705000,1091,3,2e
55785000,1093,4,00
55865000,1094,5,60
55945000,1096,6,08
58845000,1154,7,cd
58925000,1156,8,37
59005000,1157,9,a6
59085000,1159,10,00
59165000,1160,11,20
59245000,1162,12,d6
59325000,1164,13,01
59405000,1165,14,3c
59485000,1167,15,f1
62385000,1225,16,00
62465000,1226,17,60
62545000,1228,18,08
62625000,1230,19,ad
62705000,1231,20,3b
62785000,1233,21,af
62865000,1234,22,00
62945000,1236,23,00
63025000,1238,24,4a
63105000,1239,25,6f
66005000,1297,26,79
66085000,1299,27,2c
66165000,1300,28,20
66245000,1302,29,62
66325000,1304,30,72
66405000,1305,31,69
66485000,1307,32,67
66565000,1308,33,68
66645000,1310,34,74
66725000,1312,35,20
69625000,1370,36,73
69705000,1371,37,70
69785000,1373,38,61
69865000,1374,39,72
69945000,1376,40,6b
70025000,1378,41,20
70105000,1379,42,6f
70185000,1381,43,66
70265000,1382,44,20
70345000,1384,45,64
73245000,1442,46,69
73325000,1444,47,76
73405000,1445,48,69
73485000,1447,49,6e
73565000,1448,50,69
73645000,1450,51,74
73725000,1452,52,79
73805000,1453,53,2c
73885000,1455,54,0a
76785000,1513,55,44
76865000,1514,56,61
76945000,1516,57,75
77025000,1518,58,67
77105000,1519,59,68
77185000,1521,60,74
77265000,1522,61,65
77345000,1524,62,72
77425000,1526,63,20
77505000,1527,64,6f
80405000,1585,65,66
80485000,1587,66,20
80565000,1588,67,45
80645000,1590,68,6c
80725000,1592,69,79
80805000,1593,70,73
80885000,1595,71,69
80965000,1596,72,75
81045000,1598,73,6d
81125000,1600,74,2c
84025000,1658,75,0a
84105000,1659,76,46
84185000,1661,77,69
84265000,1662,78,72
84345000,1664,79,65
84425000,1666,80,2d
84505000,1667,81,69
84585000,1669,82,6e
84665000,1670,83,73
84745000,1672,84,69
87645000,1730,85,72
87725000,1732,86,65
87805000,1733,87,64
87885000,1735,88,20
87965000,1736,89,77
88045000,1738,90,65
88125000,1740,91,20
88205000,1741,92,74
88285000,1743,93,72
88365000,1744,94,65
88445000,1746,95,61
88525000,1748,96,00
88605000,1749,97,00
88685000,1751,98,00
88765000,1752,99,00
88845000,1754,100,35
88925000,1756,101,48
89005000,1757,102,05
89085000,1759,103,0f
