time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,00,1b0d8,-728,-736,728,736,01,01,00,4,262144
50855000,994,1,0,1,12,8,01,1b0df,712,720,712,720,00,01,01,5,262144
50865000,994,2,0,2,12,8,01,1b0df,-728,-736,728,736,03,00,01,6,262144
50875000,995,3,0,3,12,8,00,1b0d8,-728,-736,728,736,00,03,00,6,262144
50885000,995,4,0,4,12,8,03,1bedf,-720,-728,720,728,00,00,03,7,262144
50895000,995,5,0,5,12,8,00,1b0d8,-736,712,736,712,00,00,00,8,262144
50915000,995,6,0,6,12,8,00,1b0d8,-725,-733,725,733,03,02,00,10,264192
50925000,996,7,0,7,12,8,02,1bed8,-725,-733,725,733,00,03,02,11,264192
50935000,996,8,0,8,12,8,03,1bedf,711,714,711,714,00,00,03,12,264200
50945000,996,9,0,9,12,8,00,1b0d8,714,717,714,717,03,00,00,13,262144
50955000,996,10,0,10,12,8,00,1b0d8,-736,712,736,712,03,03,00,14,262144
50965000,996,11,0,11,12,8,03,1bedf,-736,712,736,712,02,03,03,15,262144
50975000,997,12,0,12,12,8,03,1bedf,714,-727,714,727,02,02,03,16,264200
50985000,997,13,0,13,12,8,02,1bed8,-733,709,733,709,01,02,02,17,264192
50995000,997,14,0,14,12,8,02,1bed8,712,720,712,720,02,01,02,18,262144
51005000,997,15,0,15,12,8,01,1b0df,-736,712,736,712,03,02,01,19,262144
51015000,997,16,0,16,12,8,02,1bed8,-736,712,736,712,02,03,02,19,262144
51025000,998,17,0,17,12,8,03,1bedf,720,-728,720,728,02,02,03,20,262144
51035000,998,18,0,18,12,8,02,1bed8,712,720,712,720,01,02,02,21,262144
51055000,998,19,0,19,12,9,01,1b0df,712,720,712,720,03,03,01,23,262144
51065000,998,20,0,20,12,9,03,1bedf,-736,712,736,712,03,03,03,24,262144
51075000,999,21,0,21,12,9,03,1bedf,-725,-733,725,733,02,03,03,25,264192
