time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
54595000,1069,66,1,14,12,9,26,381f8,-160,1104,160,1104,21,36,26,18,262144
54605000,1069,67,1,15,12,9,36,3f1f8,1104,-1112,1104,1112,0a,21,36,19,262144
54615000,1069,68,1,16,12,9,21,38007,1104,-1112,1104,1112,01,0a,21,19,262144
54625000,1070,69,1,17,12,9,0a,00e38,-480,472,480,472,01,01,0a,20,262144
54635000,1070,70,1,18,12,9,01,00007,-792,-480,792,480,3e,01,01,21,262144
54655000,1070,71,1,19,12,10,3e,3fff8,152,-1104,152,1104,3c,34,3e,23,262144
54665000,1070,72,1,20,12,10,34,3f1c0,1104,-1112,1104,1112,03,3c,34,24,262144
54675000,1071,73,1,21,12,10,3c,3ffc0,151,470,151,470,01,03,3c,25,264192
54685000,1071,74,1,22,12,10,03,0003f,777,-1095,777,1095,3b,01,03,26,266256
54695000,1071,75,1,23,12,10,01,00007,777,-1095,777,1095,05,3b,01,26,262144
54705000,1071,76,1,24,12,10,3b,3fe3f,777,-1095,777,1095,05,05,3b,26,262144
54715000,1071,77,1,25,12,10,05,001c7,777,-1095,777,1095,05,05,05,26,262144
54795000,1073,78,1,26,12,10,05,001c7,-160,792,160,792,38,37,05,30,262144
54805000,1073,79,1,27,12,10,37,3f1ff,-792,-792,792,792,2a,38,37,31,262144
54815000,1073,80,1,28,12,10,38,3fe00,-481,152,481,152,24,2a,38,32,260096
54825000,1074,81,1,29,12,10,2a,38e38,153,-161,153,161,1e,24,2a,33,258064
54835000,1074,82,1,30,12,10,24,381c0,153,-161,153,161,13,1e,24,33,258064
54845000,1074,83,1,31,12,10,1e,07ff8,475,1112,475,1112,13,13,1e,34,258064
54855000,1074,84,1,32,12,10,13,0703f,-480,-792,480,792,0f,13,13,35,262144
54875000,1075,85,1,33,12,10,0f,00fff,472,-800,472,800,1b,26,0f,37,262144
54885000,1075,86,1,34,12,10,26,381f8,-1125,1108,1125,1108,27,1b,26,38,258064
54895000,1075,87,1,35,12,10,1b,07e3f,1107,156,1107,156,08,27,1b,39,260104
54905000,1075,88,1,36,12,10,27,381ff,-490,1096,490,1096,19,08,27,40,260112
54915000,1075,89,1,37,12,10,08,00e00,-1116,1091,1116,1091,0e,19,08,41,262144
54925000,1076,90,1,38,12,10,19,07e07,1104,1104,1104,1104,08,0e,19,42,262144
54935000,1076,91,1,39,12,10,0e,00ff8,1104,1104,1104,1104,09,08,0e,43,262144
54945000,1076,92,1,40,12,10,08,00e00,472,-480,472,480,09,09,08,44,262144
54955000,1076,93,1,41,12,10,09,00e07,-160,1104,160,1104,37,09,09,45,262144
54965000,1076,94,1,42,12,10,09,00e07,160,-792,160,792,0a,37,09,46,262144
54975000,1077,95,1,43,12,10,37,3f1ff,160,-792,160,792,23,0a,37,46,262144
54985000,1077,96,1,44,12,10,0a,00e38,784,-792,784,792,23,23,0a,47,262144
54995000,1077,97,1,45,12,10,23,3803f,787,-1108,787,1108,25,23,23,48,260096
55015000,1077,98,1,46,12,10,25,381c7,475,798,475,798,05,05,25,50,258064
55025000,1078,99,1,47,12,10,05,001c7,-169,153,169,153,2f,05,05,51,258064
55035000,1078,100,1,48,12,10,05,001c7,1101,794,1101,794,1a,2f,05,0,258064
55045000,1078,101,1,49,12,10,2f,38fff,1101,794,1101,794,29,1a,2f,0,258064
55055000,1078,102,1,50,12,10,1a,07e38,1101,794,1101,794,29,29,1a,0,258064
55065000,1078,103,1,51,12,10,29,38e07,1101,794,1101,794,29,29,29,0,258064
58045000,1138,104,2,0,12,10,1d,07fc7,-160,472,160,472,03,3b,1d,4,262144
58055000,1138,105,2,1,12,10,3b,3fe3f,-160,152,160,152,3a,03,3b,5,262144
58065000,1138,106,2,2,12,10,03,0003f,-1104,472,1104,472,1a,3a,03,6,262144
58075000,1139,107,2,3,12,10,3a,3fe38,-1104,472,1104,472,38,1a,3a,6,262144
58085000,1139,108,2,4,12,10,1a,07e38,-1104,-1104,1104,1104,38,38,1a,7,262144
58095000,1139,109,2,5,12,10,38,3fe00,152,792,152,792,00,38,38,8,262144
58115000,1139,110,2,6,12,10,00,00000,780,-788,780,788,1b,2b,00,10,264192
58125000,1140,111,2,7,12,10,2b,38e3f,1099,470,1099,470,25,1b,2b,11,264192
58135000,1140,112,2,8,12,10,1b,07e3f,-170,-788,170,788,39,25,1b,12,264200
58145000,1140,113,2,9,12,10,25,381c7,-804,-1108,804,1108,22,39,25,13,262144
58155000,1140,114,2,10,12,10,39,3fe07,1104,152,1104,152,04,22,39,14,262144
58165000,1140,115,2,11,12,10,22,38038,-480,-792,480,792,19,04,22,15,262144
58175000,1141,116,2,12,12,10,04,001c0,155,1099,155,1099,26,19,04,16,264200
58185000,1141,117,2,13,12,10,19,07e07,-159,1091,159,1091,0b,26,19,17,264192
58195000,1141,118,2,14,12,10,26,381f8,1104,784,1104,784,0a,0b,26,18,262144
58205000,1141,119,2,15,12,10,0b,00e3f,472,-1112,472,1112,29,0a,0b,19,262144
58215000,1141,120,2,16,12,10,0a,00e38,472,-1112,472,1112,07,29,0a,19,262144
58225000,1142,121,2,17,12,10,29,38e07,-480,-1112,480,1112,07,07,29,20,262144
58235000,1142,122,2,18,12,10,07,001ff,-160,1104,160,1104,06,07,07,21,262144
58255000,1142,123,2,19,12,11,06,001f8,784,-792,784,792,04,0a,06,23,262144
58265000,1142,124,2,20,12,11,0a,00e38,-160,152,160,152,25,04,0a,24,262144
58275000,1143,125,2,21,12,11,04,001c0,470,-159,470,159,1a,25,04,25,264192
58285000,1143,126,2,22,12,11,25,381c7,-1103,-468,1103,468,17,1a,25,26,266256
58295000,1143,127,2,23,12,11,1a,07e38,-1103,-468,1103,468,30,17,1a,26,262144
58305000,1143,128,2,24,12,11,17,071ff,-1103,-468,1103,468,30,30,17,26,262144
58315000,1143,129,2,25,12,11,30,3f000,-1103,-468,1103,468,30,30,30,26,262144
58395000,1145,130,2,26,12,11,13,0703f,472,-792,472,792,08,29,13,30,262144
58405000,1145,131,2,27,12,11,29,38e07,1104,-160,1104,160,27,08,29,31,262144
58415000,1145,132,2,28,12,11,08,00e00,473,1108,473,1108,11,27,08,32,260096
58425000,1146,133,2,29,12,11,27,381ff,475,790,475,790,0f,11,27,33,258064
58435000,1146,134,2,30,12,11,11,07007,475,790,475,790,2f,0f,11,33,258064
58445000,1146,135,2,31,12,11,0f,00fff,153,-1112,153,1112,2f,2f,0f,34,258064
58455000,1146,136,2,32,12,11,2f,38fff,-168,-1112,168,1112,03,2f,2f,35,262144
58475000,1147,137,2,33,12,11,03,0003f,464,152,464,152,23,02,03,37,262144
58485000,1147,138,2,34,12,11,02,00038,-1121,148,1121,148,1f,23,02,38,258064
58495000,1147,139,2,35,12,11,23,3803f,473,154,473,154,18,1f,23,39,260104
58505000,1147,140,2,36,12,11,1f,07fff,-788,-801,788,801,1f,18,1f,40,260112
58515000,1147,141,2,37,12,11,18,07e00,153,-479,153,479,24,1f,18,41,262144
58525000,1148,142,2,38,12,11,1f,07fff,-792,-1112,792,1112,33,24,1f,42,262144
58535000,1148,143,2,39,12,11,24,381c0,-160,152,160,152,04,33,24,43,262144
58545000,1148,144,2,40,12,11,33,3f03f,1104,-792,1104,792,1a,04,33,44,262144
58555000,1148,145,2,41,12,11,04,001c0,-472,1104,472,1104,21,1a,04,45,262144
58565000,1148,146,2,42,12,11,1a,07e38,792,472,792,472,0e,21,1a,46,262144
58575000,1149,147,2,43,12,11,21,38007,792,472,792,472,3d,0e,21,46,262144
58585000,1149,148,2,44,12,11,0e,00ff8,-480,784,480,784,3d,3d,0e,47,262144
58595000,1149,149,2,45,12,11,3d,3ffc7,-160,1108,160,1108,2e,3d,3d,48,260096
58615000,1149,150,2,46,12,11,2e,38ff8,-161,1112,161,1112,2f,0a,2e,50,258064
58625000,1150,151,2,47,12,11,0a,00e38,-483,790,483,790,0a,2f,0a,51,258064
58635000,1150,152,2,48,12,11,2f,38fff,-486,788,486,788,2e,0a,2f,0,258064
58645000,1150,153,2,49,12,11,0a,00e38,-486,788,486,788,2e,2e,0a,0,258064
58655000,1150,154,2,50,12,11,2e,38ff8,-486,788,486,788,2e,2e,2e,0,258064
58665000,1150,155,2,51,12,11,2e,38ff8,-486,788,486,788,2e,2e,2e,0,258064
