time_ns,iq_count,state,deinter_count,deinter_stb,deinter_erase,deinter_bits,conv_stb,conv_bit,descr_stb,descr_bit,bit_stb,bit,byte_stb,byte_count,byte
40065000,778,6,38,1,0,07,0,0,0,0,0,0,0,0,00
40075000,779,6,39,1,0,3f,0,0,0,0,0,0,0,0,00
40085000,779,6,40,1,0,07,0,0,0,0,0,0,0,0,00
40095000,779,6,41,1,0,3f,0,0,0,0,0,0,0,0,00
40105000,779,6,42,1,0,07,0,0,0,0,0,0,0,0,00
40115000,779,6,43,1,0,07,0,0,0,0,0,0,0,0,00
40125000,780,6,44,1,0,3f,0,0,0,0,0,0,0,0,00
40135000,780,6,45,1,0,07,0,0,0,0,0,0,0,0,00
40145000,780,6,46,1,0,3f,0,0,0,0,0,0,0,0,00
40155000,780,6,47,1,0,00,0,0,0,0,0,0,0,0,00
40545000,788,6,48,0,0,00,1,1,0,0,0,0,0,0,00
40555000,788,6,48,0,0,00,1,1,0,0,1,1,0,0,00
40565000,788,6,48,0,0,00,1,1,0,0,1,1,0,0,00
40575000,789,6,48,0,0,00,1,0,0,0,1,1,0,0,00
40585000,789,6,48,0,0,00,1,0,0,0,1,0,0,0,00
40595000,789,6,48,0,0,00,1,0,0,0,1,0,0,0,00
40605000,789,6,48,0,0,00,1,0,0,0,1,0,0,0,00
40615000,789,6,48,0,0,00,1,0,0,0,1,0,0,0,00
40625000,790,6,48,0,0,00,1,0,1,1,1,0,0,0,00
40635000,790,6,48,0,0,00,1,0,1,1,1,0,1,0,07
40645000,790,6,48,0,0,00,1,0,1,1,1,0,0,1,07
40655000,790,6,48,0,0,00,1,1,1,0,1,0,0,1,07
40665000,790,6,48,0,0,00,1,0,1,0,1,1,0,1,07
40675000,791,6,48,0,0,00,1,1,1,1,1,0,0,1,07
40685000,791,6,48,0,0,00,1,1,1,0,1,1,0,1,07
40695000,791,6,48,0,0,00,1,0,1,0,1,1,0,1,07
40705000,791,6,48,0,0,00,1,0,1,0,1,0,0,1,07
40715000,791,6,48,0,0,00,1,0,1,0,1,0,1,1,68
40725000,792,6,48,0,0,00,1,0,1,1,1,0,0,2,68
40735000,792,6,48,0,0,00,1,0,1,0,1,0,0,2,68
40745000,792,6,48,0,0,00,1,0,1,1,1,0,0,2,68
40755000,792,6,48,0,0,00,1,0,1,1,1,0,0,2,68
40765000,792,6,48,0,0,00,1,0,1,0,1,0,0,2,68
40775000,793,6,48,0,0,00,1,0,1,0,1,0,0,2,68
40785000,793,6,48,0,0,00,1,1,1,1,1,0,0,2,68
40795000,793,6,48,0,0,00,1,1,1,1,1,1,1,2,00
40805000,793,6,48,0,0,00,1,1,1,1,1,1,0,3,00
40815000,793,6,48,0,0,00,1,0,1,0,1,1,0,3,00
40825000,794,6,48,0,0,00,1,0,1,0,1,0,0,3,00
40835000,794,6,48,0,0,00,1,0,1,0,1,0,0,3,00
40845000,794,6,48,0,0,00,1,0,1,0,1,0,0,3,00
40855000,794,6,48,0,0,00,1,1,1,0,1,0,0,3,00
40865000,794,6,48,0,0,00,1,0,1,1,1,1,0,3,00
40875000,795,6,48,0,0,00,1,0,1,0,1,0,1,3,87
40885000,795,6,48,0,0,00,1,1,1,1,1,0,0,4,87
40895000,795,6,48,0,0,00,1,1,1,1,1,1,0,4,87
40905000,795,6,48,0,0,00,1,1,1,1,1,1,0,4,87
40915000,795,6,48,0,0,00,1,1,1,1,1,1,0,4,87
40925000,796,6,48,0,0,00,1,1,1,0,1,1,0,4,87
40935000,796,6,48,0,0,00,1,0,1,1,1,1,0,4,87
40945000,796,6,48,0,0,00,1,1,1,0,1,0,0,4,87
40955000,796,6,48,0,0,00,1,0,1,0,1,1,1,4,7c
40965000,796,6,48,0,0,00,1,0,1,1,1,0,0,5,7c
40975000,797,6,48,0,0,00,1,0,1,0,1,0,0,5,7c
40985000,797,6,48,0,0,00,1,0,1,0,1,0,0,5,7c
40995000,797,6,48,0,0,00,1,0,1,0,1,0,0,5,7c
41005000,797,6,48,0,0,00,1,0,1,1,1,0,0,5,7c
41015000,797,6,48,0,0,00,1,0,1,0,1,0,0,5,7c
41025000,798,6,48,0,0,00,1,0,1,1,1,0,0,5,7c
41035000,798,6,48,0,0,00,1,0,1,1,1,0,1,5,01
41045000,798,6,48,0,0,00,1,0,1,1,1,0,0,6,01
41055000,798,7,48,0,0,00,1,0,1,0,1,0,0,0,01
41065000,798,7,48,0,0,00,1,0,1,1,1,0,0,0,01
51525000,1008,12,0,1,0,00,0,0,0,0,0,0,0,0,00
51535000,1008,12,1,1,2,07,0,0,0,0,0,0,0,0,00
51545000,1008,12,2,1,1,07,0,0,0,0,0,0,0,0,00
51555000,1008,12,3,1,2,3f,0,0,0,0,0,0,0,0,00
51565000,1008,12,4,1,1,3f,0,0,0,0,0,0,0,0,00
51575000,1009,12,5,1,0,38,0,0,0,0,0,0,0,0,00
51585000,1009,12,6,1,2,38,0,0,0,0,0,0,0,0,00
51595000,1009,12,7,1,1,38,0,0,0,0,0,0,0,0,00
51605000,1009,12,8,1,2,00,0,0,0,0,0,0,0,0,00
51615000,1009,12,9,1,1,00,0,0,0,0,0,0,0,0,00
51625000,1010,12,10,1,0,38,0,0,0,0,0,0,0,0,00
51635000,1010,12,11,1,2,00,0,0,0,0,0,0,0,0,00
51645000,1010,12,12,1,1,00,0,0,0,0,0,0,0,0,00
51655000,1010,12,13,1,2,07,0,0,0,0,0,0,0,0,00
51665000,1010,12,14,1,1,07,0,0,0,0,0,0,0,0,00
51675000,1011,12,15,1,0,00,0,0,0,0,0,0,0,0,00
51685000,1011,12,16,1,2,38,0,0,0,0,0,0,0,0,00
51695000,1011,12,17,1,1,38,0,0,0,0,0,0,0,0,00
51705000,1011,12,18,1,2,3f,0,0,0,0,0,0,0,0,00
51715000,1011,12,19,1,1,3f,0,0,0,0,0,0,0,0,00
51725000,1012,12,20,1,0,38,0,0,0,0,0,0,0,0,00
51735000,1012,12,21,1,2,00,0,0,0,0,0,0,0,0,00
51745000,1012,12,22,1,1,00,0,0,0,0,0,0,0,0,00
51755000,1012,12,23,1,2,00,0,0,0,0,0,0,0,0,00
51765000,1012,12,24,1,1,00,0,0,0,0,0,0,0,0,00
51775000,1013,12,25,1,0,00,0,0,0,0,0,0,0,0,00
51785000,1013,12,26,1,2,3f,0,0,0,0,0,0,0,0,00
51795000,1013,12,27,1,1,3f,0,0,0,0,0,0,0,0,00
51805000,1013,12,28,1,2,38,0,0,0,0,0,0,0,0,00
51815000,1013,12,29,1,1,38,0,0,0,0,0,0,0,0,00
51825000,1014,12,30,1,0,07,0,0,0,0,0,0,0,0,00
51835000,1014,12,31,1,2,3f,0,0,0,0,0,0,0,0,00
51845000,1014,12,32,1,1,3f,0,0,0,0,0,0,0,0,00
51855000,1014,12,33,1,2,00,0,0,0,0,0,0,0,0,00
51865000,1014,12,34,1,1,00,0,0,0,0,0,0,0,0,00
51875000,1015,12,35,1,0,3f,0,0,0,0,0,0,0,0,00
51885000,1015,12,36,1,2,3f,0,0,0,0,0,0,0,0,00
51895000,1015,12,37,1,1,3f,0,0,0,0,0,0,0,0,00
51905000,1015,12,38,1,2,00,0,0,0,0,0,0,0,0,00
51915000,1015,12,39,1,1,00,0,0,0,0,0,0,0,0,00
51925000,1016,12,40,1,0,3f,0,0,0,0,0,0,0,0,00
51935000,1016,12,41,1,2,07,0,0,0,0,0,0,0,0,00
51945000,1016,12,42,1,1,07,0,0,0,0,0,0,0,0,00
51955000,1016,12,43,1,2,38,0,0,0,0,0,0,0,0,00
51965000,1016,12,44,1,1,38,0,0,0,0,0,0,0,0,00
51975000,1017,12,45,1,0,3f,0,0,0,0,0,0,0,0,00
51985000,1017,12,46,1,2,38,0,0,0,0,0,0,0,0,00
51995000,1017,12,47,1,1,38,0,0,0,0,0,0,0,0,00
52005000,1017,12,48,1,2,38,0,0,0,0,0,0,0,0,00
52015000,1017,12,49,1,1,38,0,0,0,0,0,0,0,0,00
52025000,1018,12,50,1,0,07,0,0,0,0,0,0,0,0,00
52035000,1018,12,51,1,2,3f,0,0,0,0,0,0,0,0,00
52045000,1018,12,52,1,1,3f,0,0,0,0,0,0,0,0,00
52055000,1018,12,53,1,2,3f,0,0,0,0,0,0,0,0,00
52065000,1018,12,54,1,1,3f,0,0,0,0,0,0,0,0,00
52075000,1019,12,55,1,0,07,0,0,0,0,0,0,0,0,00
52085000,1019,12,56,1,2,00,0,0,0,0,0,0,0,0,00
52095000,1019,12,57,1,1,00,0,0,0,0,0,0,0,0,00
52105000,1019,12,58,1,2,3f,0,0,0,0,0,0,0,0,00
52115000,1019,12,59,1,1,3f,0,0,0,0,0,0,0,0,00
52125000,1020,12,60,1,0,3f,0,0,0,0,0,0,0,0,00
52135000,1020,12,61,1,2,07,0,0,0,0,0,0,0,0,00
52145000,1020,12,62,1,1,07,0,0,0,0,0,0,0,0,00
52155000,1020,12,63,1,2,3f,0,0,0,0,0,0,0,0,00
52165000,1020,12,64,1,1,3f,0,0,0,0,0,0,0,0,00
52175000,1021,12,65,1,0,00,0,0,0,0,0,0,0,0,00
52185000,1021,12,66,1,2,3f,0,0,0,0,0,0,0,0,00
52195000,1021,12,67,1,1,3f,0,0,0,0,0,0,0,0,00
52205000,1021,12,68,1,2,07,0,0,0,0,0,0,0,0,00
52215000,1021,12,69,1,1,07,0,0,0,0,0,0,0,0,00
52225000,1022,12,70,1,0,07,0,0,0,0,0,0,0,0,00
52235000,1022,12,71,1,2,07,0,0,0,0,0,0,0,0,00
52245000,1022,12,72,1,1,07,0,0,0,0,0,0,0,0,00
52255000,1022,12,73,1,2,00,0,0,0,0,0,0,0,0,00
52265000,1022,12,74,1,1,00,0,0,0,0,0,0,0,0,00
52275000,1023,12,75,1,0,3f,0,0,0,0,0,0,0,0,00
52285000,1023,12,76,1,2,3f,0,0,0,0,0,0,0,0,00
52295000,1023,12,77,1,1,3f,0,0,0,0,0,0,0,0,00
52305000,1023,12,78,1,2,3f,0,0,0,0,0,0,0,0,00
52315000,1023,12,79,1,1,3f,0,0,0,0,0,0,0,0,00
52325000,1024,12,80,1,0,07,0,0,0,0,0,0,0,0,00
52335000,1024,12,81,1,2,00,0,0,0,0,0,0,0,0,00
52345000,1024,12,82,1,1,00,0,0,0,0,0,0,0,0,00
52355000,1024,12,83,1,2,3f,0,0,0,0,0,0,0,0,00
52365000,1024,12,84,1,1,3f,0,0,0,0,0,0,0,0,00
52375000,1025,12,85,1,0,38,0,0,0,0,0,0,0,0,00
52385000,1025,12,86,1,2,00,1,0,0,0,0,0,0,0,00
52395000,1025,12,87,1,1,00,1,1,0,0,0,0,0,0,00
52405000,1025,12,88,1,2,00,1,1,0,0,0,0,0,0,00
52415000,1025,12,89,1,1,00,1,0,0,0,0,0,0,0,00
52425000,1026,12,90,1,0,38,1,1,0,0,0,0,0,0,00
52435000,1026,12,91,1,2,3f,1,1,0,0,0,0,0,0,00
52445000,1026,12,92,1,1,3f,1,0,0,0,0,0,0,0,00
52455000,1026,12,93,1,2,00,1,0,0,0,0,0,0,0,00
52465000,1026,12,94,1,1,00,1,0,1,0,0,0,0,0,00
52475000,1027,12,95,1,0,3f,1,0,1,0,0,0,0,0,00
52485000,1027,12,96,1,2,3f,1,0,1,0,0,0,0,0,00
52495000,1027,12,97,1,1,3f,1,1,1,0,0,0,0,0,00
52505000,1027,12,98,1,2,07,1,1,1,0,0,0,0,0,00
52515000,1027,12,99,1,1,07,1,0,1,0,0,0,0,0,00
52525000,1028,12,100,1,0,00,1,0,1,0,0,0,0,0,00
52535000,1028,12,101,1,2,38,1,1,1,0,0,0,0,0,00
52545000,1028,12,102,1,1,38,1,1,1,0,0,0,0,0,00
52555000,1028,12,103,1,2,00,1,0,1,0,0,0,0,0,00
52565000,1028,12,104,1,1,00,1,0,1,0,1,0,0,0,00
52575000,1029,12,105,1,0,00,1,0,1,1,1,0,0,0,00
52585000,1029,12,106,1,2,3f,1,1,1,0,1,1,0,0,00
52595000,1029,12,107,1,1,3f,1,0,1,0,1,0,0,0,00
52605000,1029,12,108,1,2,07,1,0,1,0,1,0,0,0,00
52615000,1029,12,109,1,1,07,1,1,1,0,1,0,0,0,00
52625000,1030,12,110,1,0,07,1,1,1,0,1,0,0,0,00
52635000,1030,12,111,1,2,00,1,0,1,0,1,0,0,0,00
52645000,1030,12,112,1,1,00,1,0,1,1,1,0,1,0,04
52655000,1030,12,113,1,2,00,1,0,1,0,1,1,0,1,04
52665000,1030,12,114,1,1,00,1,1,1,0,1,0,0,1,04
52675000,1031,12,115,1,0,38,1,1,1,0,1,0,0,1,04
52685000,1031,12,116,1,2,00,1,1,1,0,1,0,0,1,04
52695000,1031,12,117,1,1,00,1,1,1,0,1,0,0,1,04
52705000,1031,12,118,1,2,38,1,0,1,0,1,0,0,1,04
52715000,1031,12,119,1,1,38,1,1,1,0,1,0,0,1,04
52725000,1032,12,120,1,0,3f,1,1,1,0,1,0,1,1,02
52735000,1032,12,121,1,2,07,1,0,1,0,1,0,0,2,02
52745000,1032,12,122,1,1,07,1,1,1,0,1,0,0,2,02
52755000,1032,12,123,1,2,00,1,0,1,0,1,0,0,2,02
52765000,1032,12,124,1,1,00,1,0,1,0,1,0,0,2,02
52775000,1033,12,125,1,0,07,1,0,1,0,1,0,0,2,02
52785000,1033,12,126,1,2,07,1,0,1,0,1,0,0,2,02
52795000,1033,12,127,1,1,07,1,0,1,0,1,0,0,2,02
52805000,1033,12,128,1,2,00,1,1,1,1,1,0,1,2,00
52815000,1033,12,129,1,1,00,1,0,1,1,1,1,0,3,00
52825000,1034,12,130,1,0,07,1,0,1,1,1,1,0,3,00
52835000,1034,12,131,1,2,3f,1,0,1,0,1,1,0,3,00
52845000,1034,12,132,1,1,3f,1,0,1,1,1,0,0,3,00
52855000,1034,12,133,1,2,07,1,1,1,0,1,1,0,3,00
52865000,1034,12,134,1,1,07,1,1,1,0,1,0,0,3,00
52875000,1035,12,135,1,0,07,1,1,1,0,1,0,0,3,00
52885000,1035,12,136,1,2,3f,1,1,1,0,1,0,1,3,2e
52895000,1035,12,137,1,1,3f,1,1,1,0,1,0,0,4,2e
