time_ns,iq_count,byte_count,byte
32705000,631,0,6b
32785000,633,1,0c
32865000,634,2,02
40635000,790,0,00
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,d8
41035000,798,5,02
66005000,1297,0,04
66085000,1299,1,02
66165000,1300,2,00
69585000,1369,3,2e
69665000,1370,4,00
69745000,1372,5,60
69825000,1374,6,08
73245000,1442,7,cd
73325000,1444,8,37
73405000,1445,9,a6
76825000,1514,10,00
76905000,1515,11,20
76985000,1517,12,d6
80405000,1585,13,01
80485000,1587,14,3c
80565000,1588,15,f1
83985000,1657,16,00
84065000,1658,17,60
84145000,1660,18,08
84225000,1662,19,ad
87645000,1730,20,3b
87725000,1732,21,af
87805000,1733,22,00
91225000,1802,23,00
91305000,1803,24,4a
91385000,1805,25,6f
94805000,1873,26,79
94885000,1875,27,2c
94965000,1876,28,20
98385000,1945,29,62
98465000,1946,30,72
98545000,1948,31,69
98625000,1950,32,67
102045000,2018,33,68
102125000,2020,34,74
102205000,2021,35,20
105625000,2090,36,73
105705000,2091,37,70
105785000,2093,38,61
109205000,2161,39,72
109285000,2163,40,6b
109365000,2164,41,20
112785000,2233,42,6f
112865000,2234,43,66
112945000,2236,44,20
113025000,2238,45,64
116445000,2306,46,69
116525000,2308,47,76
116605000,2309,48,69
120025000,2378,49,6e
120105000,2379,50,69
120185000,2381,51,74
123605000,2449,52,79
123685000,2451,53,2c
123765000,2452,54,0a
127185000,2521,55,44
127265000,2522,56,61
127345000,2524,57,75
127425000,2526,58,67
130845000,2594,59,68
130925000,2596,60,74
131005000,2597,61,65
134425000,2666,62,72
134505000,2667,63,20
134585000,2669,64,6f
138005000,2737,65,66
138085000,2739,66,20
138165000,2740,67,45
141585000,2809,68,6c
141665000,2810,69,79
141745000,2812,70,73
141825000,2814,71,69
145245000,2882,72,75
145325000,2884,73,6d
145405000,2885,74,2c
148825000,2954,75,0a
148905000,2955,76,46
148985000,2957,77,69
152405000,3025,78,72
152485000,3027,79,65
152565000,3028,80,2d
155985000,3097,81,69
156065000,3098,82,6e
156145000,3100,83,73
156225000,3102,84,69
159645000,3170,85,72
159725000,3172,86,65
159805000,3173,87,64
163225000,3242,88,20
163305000,3243,89,77
163385000,3245,90,65
166805000,3313,91,20
166885000,3315,92,74
166965000,3316,93,72
167045000,3318,94,65
167125000,3320,95,61
167205000,3321,96,00
167285000,3323,97,00
167365000,3324,98,00
167445000,3326,99,00
167525000,3328,100,35
167605000,3329,101,48
167685000,3331,102,05
167765000,3332,103,0f
