time_ns,word_index,tdata,tlast,tstrb
87785000,0,0000000000000031,0,ff
87795000,1,003000680180008d,0,ff
87805000,2,cd0860002e000204,0,ff
87815000,3,f13c01d62000a637,0,ff
91295000,4,0000af3bad086000,0,ff
98615000,5,697262202c796f4a,0,ff
109275000,6,7261707320746867,0,ff
116595000,7,76696420666f206b,0,ff
127255000,8,440a2c7974696e69,0,ff
134575000,9,2072657468677561,0,ff
141895000,10,6973796c4520666f,0,ff
152555000,11,657269460a2c6d75,0,ff
159875000,12,64657269736e692d,0,ff
167195000,13,6165727420657720,0,ff
167835000,14,8105483500000000,1,ff
