time_ns,iq_count,byte_count,byte
32705000,631,0,8b
32785000,633,1,04
32865000,634,2,02
40635000,790,0,03
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,4c
41035000,798,5,03
55205000,1081,0,04
55285000,1083,1,02
55365000,1084,2,00
55445000,1086,3,2e
55525000,1088,4,00
55605000,1089,5,60
55685000,1091,6,08
55765000,1092,7,cd
55845000,1094,8,37
55925000,1096,9,a6
56005000,1097,10,00
56085000,1099,11,20
56165000,1100,12,d6
58805000,1153,13,01
58885000,1155,14,3c
58965000,1156,15,f1
59045000,1158,16,00
59125000,1160,17,60
59205000,1161,18,08
59285000,1163,19,ad
59365000,1164,20,3b
59445000,1166,21,af
59525000,1168,22,00
59605000,1169,23,00
59685000,1171,24,4a
59765000,1172,25,6f
62405000,1225,26,79
62485000,1227,27,2c
62565000,1228,28,20
62645000,1230,29,62
62725000,1232,30,72
62805000,1233,31,69
62885000,1235,32,67
62965000,1236,33,68
63045000,1238,34,74
63125000,1240,35,20
63205000,1241,36,73
63285000,1243,37,70
63365000,1244,38,61
66005000,1297,39,72
66085000,1299,40,6b
66165000,1300,41,20
66245000,1302,42,6f
66325000,1304,43,66
66405000,1305,44,20
66485000,1307,45,64
66565000,1308,46,69
66645000,1310,47,76
66725000,1312,48,69
66805000,1313,49,6e
66885000,1315,50,69
66965000,1316,51,74
69605000,1369,52,79
69685000,1371,53,2c
69765000,1372,54,0a
69845000,1374,55,44
69925000,1376,56,61
70005000,1377,57,75
70085000,1379,58,67
70165000,1380,59,68
70245000,1382,60,74
70325000,1384,61,65
70405000,1385,62,72
70485000,1387,63,20
70565000,1388,64,6f
73205000,1441,65,66
73285000,1443,66,20
73365000,1444,67,45
73445000,1446,68,6c
73525000,1448,69,79
73605000,1449,70,73
73685000,1451,71,69
73765000,1452,72,75
73845000,1454,73,6d
73925000,1456,74,2c
74005000,1457,75,0a
74085000,1459,76,46
74165000,1460,77,69
76805000,1513,78,72
76885000,1515,79,65
76965000,1516,80,2d
77045000,1518,81,69
77125000,1520,82,6e
77205000,1521,83,73
77285000,1523,84,69
77365000,1524,85,72
77445000,1526,86,65
77525000,1528,87,64
77605000,1529,88,20
77685000,1531,89,77
77765000,1532,90,65
80405000,1585,91,20
80485000,1587,92,74
80565000,1588,93,72
80645000,1590,94,65
80725000,1592,95,61
80805000,1593,96,00
80885000,1595,97,00
80965000,1596,98,00
81045000,1598,99,00
81125000,1600,100,35
81205000,1601,101,48
81285000,1603,102,05
81365000,1604,103,0f
