time_ns,word_index,tdata,tlast,tstrb
59505000,0,0000000000000031,0,ff
59515000,1,003300680180008f,0,ff
59525000,2,cd0860002e000204,0,ff
59535000,3,f13c01d62000a637,0,ff
59675000,4,0000af3bad086000,0,ff
62875000,5,697262202c796f4a,0,ff
66075000,6,7261707320746867,0,ff
66715000,7,76696420666f206b,0,ff
69915000,8,440a2c7974696e69,0,ff
70555000,9,2072657468677561,0,ff
73755000,10,6973796c4520666f,0,ff
76955000,11,657269460a2c6d75,0,ff
77595000,12,64657269736e692d,0,ff
80795000,13,6165727420657720,0,ff
81435000,14,8105483500000000,1,ff
