time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,05,18ec7,328,-976,328,976,00,04,05,4,262144
50855000,994,1,0,1,12,8,04,18ec0,968,968,968,968,03,00,04,5,262144
50865000,994,2,0,2,12,8,00,180c0,-968,-976,968,976,05,03,00,6,262144
50875000,995,3,0,3,12,8,03,180ff,-968,-976,968,976,00,05,03,6,262144
50885000,995,4,0,4,12,8,05,18ec7,320,968,320,968,00,00,05,7,262144
50895000,995,5,0,5,12,8,00,180c0,968,-328,968,328,07,00,00,8,262144
50915000,995,6,0,6,12,8,07,18eff,-972,964,972,964,08,09,07,10,264192
50925000,996,7,0,7,12,8,09,1f0c7,-326,326,326,326,04,08,09,11,264192
50935000,996,8,0,8,12,8,08,1f0c0,-970,322,970,322,0e,04,08,12,264200
50945000,996,9,0,9,12,8,04,18ec0,323,966,323,966,0c,0e,04,13,262144
50955000,996,10,0,10,12,8,0e,1fef8,968,-328,968,328,07,0c,0e,14,262144
50965000,996,11,0,11,12,8,0c,1fec0,-976,968,976,968,09,07,0c,15,262144
50975000,997,12,0,12,12,8,07,18eff,322,962,322,962,04,09,07,16,264200
50985000,997,13,0,13,12,8,09,1f0c7,964,956,964,956,07,04,09,17,264192
50995000,997,14,0,14,12,8,04,18ec0,968,320,968,320,05,07,04,18,262144
51005000,997,15,0,15,12,8,07,18eff,328,-328,328,328,0d,05,07,19,262144
51015000,997,16,0,16,12,8,05,18ec7,328,-328,328,328,0b,0d,05,19,262144
51025000,998,17,0,17,12,8,0d,1fec7,-976,320,976,320,0b,0b,0d,20,262144
51035000,998,18,0,18,12,8,0b,1f0ff,-976,-976,976,976,0c,0b,0b,21,262144
51055000,998,19,0,19,12,9,0c,1fec0,-976,968,976,968,08,00,0c,23,262144
51065000,998,20,0,20,12,9,00,180c0,-328,968,328,968,04,08,00,24,262144
51075000,999,21,0,21,12,9,08,1f0c0,318,318,318,318,06,04,08,25,264192
51085000,999,22,0,22,12,9,04,18ec0,317,-317,317,317,0f,06,04,26,266256
51095000,999,23,0,23,12,9,06,18ef8,317,-317,317,317,0b,0f,06,26,262144
51105000,999,24,0,24,12,9,0f,1feff,317,-317,317,317,0b,0b,0f,26,262144
51115000,999,25,0,25,12,9,0b,1f0ff,317,-317,317,317,0b,0b,0b,26,262144
51195000,1001,26,0,26,12,9,0c,1fec0,320,320,320,320,01,0f,0c,30,262144
51205000,1001,27,0,27,12,9,0f,1feff,-968,-968,968,968,0f,01,0f,31,262144
51215000,1001,28,0,28,12,9,01,180c7,-329,-979,329,979,00,0f,01,32,260096
51225000,1002,29,0,29,12,9,0f,1feff,-330,975,330,975,02,00,0f,33,258064
51235000,1002,30,0,30,12,9,00,180c0,-330,975,330,975,06,02,00,33,258064
51245000,1002,31,0,31,12,9,02,180f8,-330,322,330,322,06,06,02,34,258064
51255000,1002,32,0,32,12,9,06,18ef8,312,-328,312,328,0e,06,06,35,262144
51275000,1003,33,0,33,12,9,0e,1fef8,320,968,320,968,07,0b,0e,37,262144
51285000,1003,34,0,34,12,9,0b,1f0ff,-326,-985,326,985,07,07,0b,38,258064
51295000,1003,35,0,35,12,9,07,18eff,-325,-981,325,981,02,07,07,39,260104
51305000,1003,36,0,36,12,9,07,18eff,-326,-339,326,339,02,02,07,40,260112
51315000,1003,37,0,37,12,9,02,180f8,969,-324,969,324,0a,02,02,41,262144
51325000,1004,38,0,38,12,9,02,180f8,-320,-328,320,328,09,0a,02,42,262144
51335000,1004,39,0,39,12,9,0a,1f0f8,968,-976,968,976,0a,09,0a,43,262144
51345000,1004,40,0,40,12,9,09,1f0c7,-968,320,968,320,01,0a,09,44,262144
51355000,1004,41,0,41,12,9,0a,1f0f8,320,-976,320,976,0c,01,0a,45,262144
51365000,1004,42,0,42,12,9,01,180c7,968,-968,968,968,03,0c,01,46,262144
51375000,1005,43,0,43,12,9,0c,1fec0,968,-968,968,968,01,03,0c,46,262144
51385000,1005,44,0,44,12,9,03,180ff,968,-976,968,976,01,01,03,47,262144
51395000,1005,45,0,45,12,9,01,180c7,321,-979,321,979,01,01,01,48,260096
51415000,1005,46,0,46,12,9,01,180c7,975,-983,975,983,0f,03,01,50,258064
51425000,1006,47,0,47,12,9,03,180ff,967,-983,967,983,01,0f,03,51,258064
51435000,1006,48,0,48,12,9,0f,1feff,323,-329,323,329,01,01,0f,0,258064
51445000,1006,49,0,49,12,9,01,180c7,323,-329,323,329,0b,01,01,0,258064
51455000,1006,50,0,50,12,9,01,180c7,323,-329,323,329,0b,0b,01,0,258064
51465000,1006,51,0,51,12,9,0b,1f0ff,323,-329,323,329,0b,0b,0b,0,258064
54445000,1066,52,1,0,12,9,05,18ec7,-968,968,968,968,0a,0c,05,4,262144
54455000,1066,53,1,1,12,9,0c,1fec0,-328,968,328,968,04,0a,0c,5,262144
54465000,1066,54,1,2,12,9,0a,1f0f8,-336,-976,336,976,06,04,0a,6,262144
54475000,1067,55,1,3,12,9,04,18ec0,-336,-976,336,976,02,06,04,6,262144
54485000,1067,56,1,4,12,9,06,18ef8,968,960,968,960,02,02,06,7,262144
54495000,1067,57,1,5,12,9,02,180f8,-328,968,328,968,05,02,02,8,262144
54515000,1067,58,1,6,12,9,05,18ec7,-972,964,972,964,0a,06,05,10,264192
54525000,1068,59,1,7,12,9,06,18ef8,-334,-326,334,326,04,0a,06,11,264192
54535000,1068,60,1,8,12,9,0a,1f0f8,-981,-322,981,322,0a,04,0a,12,264200
54545000,1068,61,1,9,12,9,04,18ec0,302,-337,302,337,08,0a,04,13,262144
54555000,1068,62,1,10,12,9,0a,1f0f8,-336,-328,336,328,0b,08,0a,14,262144
54565000,1068,63,1,11,12,9,08,1f0c0,312,-336,312,336,0a,0b,08,15,262144
54575000,1069,64,1,12,12,9,0b,1f0ff,967,952,967,952,0b,0a,0b,16,264200
54585000,1069,65,1,13,12,9,0a,1f0f8,318,310,318,310,05,0b,0a,17,264192
54595000,1069,66,1,14,12,9,0b,1f0ff,320,312,320,312,0f,05,0b,18,262144
54605000,1069,67,1,15,12,9,05,18ec7,-976,-976,976,976,0f,0f,05,19,262144
54615000,1069,68,1,16,12,9,0f,1feff,-976,-976,976,976,00,0f,0f,19,262144
54625000,1070,69,1,17,12,9,0f,1feff,968,960,968,960,00,00,0f,20,262144
54635000,1070,70,1,18,12,9,00,180c0,-328,968,328,968,05,00,00,21,262144
54655000,1070,71,1,19,12,10,05,18ec7,312,-984,312,984,05,06,05,23,262144
54665000,1070,72,1,20,12,10,06,18ef8,968,960,968,960,03,05,06,24,262144
54675000,1071,73,1,21,12,10,05,18ec7,-980,-326,980,326,05,03,05,25,264192
54685000,1071,74,1,22,12,10,03,180ff,-968,960,968,960,08,05,03,26,266256
54695000,1071,75,1,23,12,10,05,18ec7,-968,960,968,960,04,08,05,26,262144
54705000,1071,76,1,24,12,10,08,1f0c0,-968,960,968,960,04,04,08,26,262144
54715000,1071,77,1,25,12,10,04,18ec0,-968,960,968,960,04,04,04,26,262144
54795000,1073,78,1,26,12,10,04,18ec0,968,960,968,960,0b,0f,04,30,262144
54805000,1073,79,1,27,12,10,0f,1feff,-976,-968,976,968,05,0b,0f,31,262144
54815000,1073,80,1,28,12,10,0b,1f0ff,-979,971,979,971,00,05,0b,32,260096
54825000,1074,81,1,29,12,10,05,18ec7,-330,975,330,975,04,00,05,33,258064
54835000,1074,82,1,30,12,10,00,180c0,-330,975,330,975,06,04,00,33,258064
54845000,1074,83,1,31,12,10,04,18ec0,-983,330,983,330,06,06,04,34,258064
54855000,1074,84,1,32,12,10,06,18ef8,-984,-976,984,976,0c,06,06,35,262144
54875000,1075,85,1,33,12,10,0c,1fec0,960,-984,960,984,07,00,0c,37,262144
