time_ns,iq_count,state,old_state,num_ofdm_symbol,ht_ready,ofdm_in_stb,eq_out_stb_delayed,ofdm_symbol_eq_out_pulse,rate,len,num_bits_to_decode,n_ofdm_sym,n_bit_in_last_sym,deinter_decode_limit,deinter_count,demod_stb,deinter_stb,conv_in_stb,conv_in_stb_dly,vit_valid,conv_stb,descr_stb,bit_stb,byte_stb,byte_count,byte,fcs_stb,fcs_ok
31535000,608,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31545000,608,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31555000,608,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31565000,608,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31575000,609,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31585000,609,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31595000,609,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31605000,609,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31615000,609,3,3,3,1,1,0,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31625000,610,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31635000,610,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31645000,610,3,3,3,1,1,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31655000,610,3,3,3,1,1,1,1,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31665000,610,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31675000,611,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31685000,611,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31695000,611,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,1,0,0,0,0,0,0,0,0,0,00,0,0
31705000,611,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31715000,611,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31725000,612,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31735000,612,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31745000,612,3,3,3,1,0,1,0,0b,0,24,1,130,24,0,0,0,0,0,0,0,0,0,0,0,00,0,0
31755000,612,3,3,3,1,0,0,0,0b,0,24,1,130,24,0,0,1,0,0,0,0,0,0,0,0,00,0,0
31765000,612,3,3,3,1,0,1,0,0b,0,24,1,130,24,1,0,1,1,0,0,0,0,0,0,0,00,0,0
31775000,613,3,3,3,1,0,1,0,0b,0,24,1,130,24,2,0,1,1,1,0,0,0,0,0,0,00,0,0
31785000,613,3,3,3,1,0,1,0,0b,0,24,1,130,24,3,0,1,1,1,0,0,0,0,0,0,00,0,0
31795000,613,3,3,3,1,0,1,0,0b,0,24,1,130,24,4,0,1,1,1,0,0,0,0,0,0,00,0,0
31805000,613,3,3,3,1,0,1,0,0b,0,24,1,130,24,5,0,1,1,1,0,0,0,0,0,0,00,0,0
31815000,613,3,3,3,1,0,1,0,0b,0,24,1,130,24,6,0,1,1,1,0,0,0,0,0,0,00,0,0
31825000,614,3,3,3,1,0,0,0,0b,0,24,1,130,24,7,0,1,1,1,0,0,0,0,0,0,00,0,0
31835000,614,3,3,3,1,0,0,0,0b,0,24,1,130,24,8,0,1,1,1,0,0,0,0,0,0,00,0,0
31845000,614,3,3,4,1,0,0,0,0b,0,24,1,130,24,9,0,1,1,1,0,0,0,0,0,0,00,0,0
31855000,614,3,3,4,1,0,0,0,0b,0,24,1,130,24,10,0,1,1,1,0,0,0,0,0,0,00,0,0
31865000,614,3,3,4,1,0,0,0,0b,0,24,1,130,24,11,0,1,1,1,0,0,0,0,0,0,00,0,0
31875000,615,3,3,4,1,0,0,0,0b,0,24,1,130,24,12,0,1,1,1,0,0,0,0,0,0,00,0,0
31885000,615,3,3,4,1,0,0,0,0b,0,24,1,130,24,13,0,1,1,1,0,0,0,0,0,0,00,0,0
31895000,615,3,3,4,1,0,0,0,0b,0,24,1,130,24,14,0,1,1,1,0,0,0,0,0,0,00,0,0
31905000,615,3,3,4,1,0,0,0,0b,0,24,1,130,24,15,0,1,1,1,0,0,0,0,0,0,00,0,0
31915000,615,3,3,4,1,0,0,0,0b,0,24,1,130,24,16,0,1,1,1,0,0,0,0,0,0,00,0,0
31925000,616,3,3,4,1,0,0,0,0b,0,24,1,130,24,17,0,1,1,1,0,0,0,0,0,0,00,0,0
31935000,616,3,3,4,1,0,0,0,0b,0,24,1,130,24,18,0,1,1,1,0,0,0,0,0,0,00,0,0
31945000,616,3,3,4,1,0,0,0,0b,0,24,1,130,24,19,0,1,1,1,0,0,0,0,0,0,00,0,0
31955000,616,3,3,4,1,0,0,0,0b,0,24,1,130,24,20,0,1,1,1,0,0,0,0,0,0,00,0,0
