time_ns,iq_count,byte_count,byte
32705000,631,0,2b
32785000,633,1,07
32865000,634,2,02
40635000,790,0,01
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,54
41035000,798,5,02
58805000,1153,0,04
58885000,1155,1,02
58965000,1156,2,00
59045000,1158,3,2e
59125000,1160,4,00
59205000,1161,5,60
59285000,1163,6,08
62445000,1226,7,cd
62525000,1228,8,37
62605000,1229,9,a6
62685000,1231,10,00
62765000,1232,11,20
62845000,1234,12,d6
66005000,1297,13,01
66085000,1299,14,3c
66165000,1300,15,f1
66245000,1302,16,00
66325000,1304,17,60
66405000,1305,18,08
66485000,1307,19,ad
69645000,1370,20,3b
69725000,1372,21,af
69805000,1373,22,00
69885000,1375,23,00
69965000,1376,24,4a
70045000,1378,25,6f
73205000,1441,26,79
73285000,1443,27,2c
73365000,1444,28,20
73445000,1446,29,62
73525000,1448,30,72
73605000,1449,31,69
73685000,1451,32,67
76845000,1514,33,68
76925000,1516,34,74
77005000,1517,35,20
77085000,1519,36,73
77165000,1520,37,70
77245000,1522,38,61
80405000,1585,39,72
80485000,1587,40,6b
80565000,1588,41,20
80645000,1590,42,6f
80725000,1592,43,66
80805000,1593,44,20
80885000,1595,45,64
84045000,1658,46,69
84125000,1660,47,76
84205000,1661,48,69
84285000,1663,49,6e
84365000,1664,50,69
84445000,1666,51,74
87605000,1729,52,79
87685000,1731,53,2c
87765000,1732,54,0a
87845000,1734,55,44
87925000,1736,56,61
88005000,1737,57,75
88085000,1739,58,67
91245000,1802,59,68
91325000,1804,60,74
91405000,1805,61,65
91485000,1807,62,72
91565000,1808,63,20
91645000,1810,64,6f
94805000,1873,65,66
94885000,1875,66,20
94965000,1876,67,45
95045000,1878,68,6c
95125000,1880,69,79
95205000,1881,70,73
95285000,1883,71,69
98445000,1946,72,75
98525000,1948,73,6d
98605000,1949,74,2c
98685000,1951,75,0a
98765000,1952,76,46
98845000,1954,77,69
102005000,2017,78,72
102085000,2019,79,65
102165000,2020,80,2d
102245000,2022,81,69
102325000,2024,82,6e
102405000,2025,83,73
102485000,2027,84,69
105645000,2090,85,72
105725000,2092,86,65
105805000,2093,87,64
105885000,2095,88,20
105965000,2096,89,77
106045000,2098,90,65
109205000,2161,91,20
109285000,2163,92,74
109365000,2164,93,72
109445000,2166,94,65
109525000,2168,95,61
109605000,2169,96,00
109685000,2171,97,00
109765000,2172,98,00
109845000,2174,99,00
109925000,2176,100,35
110005000,2177,101,48
110085000,2179,102,05
110165000,2180,103,0f
