time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
54625000,1070,69,1,17,12,9,03,1bedf,-728,-728,728,728,00,00,03,20,262144
54635000,1070,70,1,18,12,9,00,1b0d8,-728,-728,728,728,00,00,00,21,262144
54655000,1070,71,1,19,12,10,00,1b0d8,720,720,720,720,01,00,00,23,262144
54665000,1070,72,1,20,12,10,00,1b0d8,720,720,720,720,03,01,00,24,262144
54675000,1071,73,1,21,12,10,01,1b0df,717,717,717,717,03,03,01,25,264192
54685000,1071,74,1,22,12,10,03,1bedf,-722,722,722,722,03,03,03,26,266256
54695000,1071,75,1,23,12,10,03,1bedf,-722,722,722,722,02,03,03,26,262144
54705000,1071,76,1,24,12,10,03,1bedf,-722,722,722,722,02,02,03,26,262144
54715000,1071,77,1,25,12,10,02,1bed8,-722,722,722,722,02,02,02,26,262144
54795000,1073,78,1,26,12,10,01,1b0df,720,720,720,720,03,00,01,30,262144
54805000,1073,79,1,27,12,10,00,1b0d8,728,-728,728,728,03,03,00,31,262144
54815000,1073,80,1,28,12,10,03,1bedf,-730,722,730,722,01,03,03,32,260096
54825000,1074,81,1,29,12,10,03,1bedf,725,-733,725,733,02,01,03,33,258064
54835000,1074,82,1,30,12,10,01,1b0df,725,-733,725,733,01,02,01,33,258064
54845000,1074,83,1,31,12,10,02,1bed8,725,725,725,725,01,01,02,34,258064
54855000,1074,84,1,32,12,10,01,1b0df,720,720,720,720,03,01,01,35,262144
54875000,1075,85,1,33,12,10,03,1bedf,-728,720,728,720,01,03,03,37,262144
54885000,1075,86,1,34,12,10,03,1bedf,-730,-736,730,736,02,01,03,38,258064
54895000,1075,87,1,35,12,10,01,1b0df,-733,719,733,719,00,02,01,39,260104
54905000,1075,88,1,36,12,10,02,1bed8,728,-725,728,725,02,00,02,40,260112
54915000,1075,89,1,37,12,10,00,1b0d8,722,-725,722,725,01,02,00,41,262144
54925000,1076,90,1,38,12,10,02,1bed8,728,-728,728,728,01,01,02,42,262144
54935000,1076,91,1,39,12,10,01,1b0df,720,720,720,720,01,01,01,43,262144
54945000,1076,92,1,40,12,10,01,1b0df,-728,-728,728,728,03,01,01,44,262144
54955000,1076,93,1,41,12,10,01,1b0df,720,-728,720,728,00,03,01,45,262144
54965000,1076,94,1,42,12,10,03,1bedf,-728,-728,728,728,01,00,03,46,262144
54975000,1077,95,1,43,12,10,00,1b0d8,-728,-728,728,728,00,01,00,46,262144
54985000,1077,96,1,44,12,10,01,1b0df,720,720,720,720,00,00,01,47,262144
54995000,1077,97,1,45,12,10,00,1b0d8,722,722,722,722,03,00,00,48,260096
55015000,1077,98,1,46,12,10,03,1bedf,-733,-733,733,733,02,03,03,50,258064
55025000,1078,99,1,47,12,10,03,1bedf,725,-733,725,733,00,02,03,51,258064
55035000,1078,100,1,48,12,10,02,1bed8,728,-730,728,730,01,00,02,0,258064
55045000,1078,101,1,49,12,10,00,1b0d8,728,-730,728,730,01,01,00,0,258064
55055000,1078,102,1,50,12,10,01,1b0df,728,-730,728,730,01,01,01,0,258064
55065000,1078,103,1,51,12,10,01,1b0df,728,-730,728,730,01,01,01,0,258064
58045000,1138,104,2,0,12,10,01,1b0df,720,-736,720,736,01,02,01,4,262144
58055000,1138,105,2,1,12,10,02,1bed8,-736,-728,736,728,01,01,02,5,262144
58065000,1138,106,2,2,12,10,01,1b0df,-720,720,720,720,00,01,01,6,262144
58075000,1139,107,2,3,12,10,01,1b0df,-720,720,720,720,02,00,01,6,262144
58085000,1139,108,2,4,12,10,00,1b0d8,720,-736,720,736,02,02,00,7,262144
58095000,1139,109,2,5,12,10,02,1bed8,712,-736,712,736,01,02,02,8,262144
58115000,1139,110,2,6,12,10,01,1b0df,709,-725,709,725,02,01,01,10,264192
58125000,1140,111,2,7,12,10,01,1b0df,709,-725,709,725,01,02,01,11,264192
58135000,1140,112,2,8,12,10,02,1bed8,698,-735,698,735,01,01,02,12,264200
58145000,1140,113,2,9,12,10,01,1b0df,-738,-725,738,725,01,01,01,13,262144
58155000,1140,114,2,10,12,10,01,1b0df,712,-736,712,736,00,01,01,14,262144
58165000,1140,115,2,11,12,10,01,1b0df,720,712,720,712,01,00,01,15,262144
58175000,1141,116,2,12,12,10,00,1b0d8,-722,719,722,719,03,01,00,16,264200
58185000,1141,117,2,13,12,10,01,1b0df,709,-733,709,733,02,03,01,17,264192
58195000,1141,118,2,14,12,10,03,1bedf,712,-736,712,736,01,02,03,18,262144
58205000,1141,119,2,15,12,10,02,1bed8,-736,-728,736,728,01,01,02,19,262144
58215000,1141,120,2,16,12,10,01,1b0df,-736,-728,736,728,00,01,01,19,262144
58225000,1142,121,2,17,12,10,01,1b0df,-728,-728,728,728,00,00,01,20,262144
58235000,1142,122,2,18,12,10,00,1b0d8,-728,720,728,720,00,00,00,21,262144
58255000,1142,123,2,19,12,11,00,1b0d8,720,712,720,712,02,02,00,23,262144
58265000,1142,124,2,20,12,11,02,1bed8,-736,-728,736,728,03,02,02,24,262144
58275000,1143,125,2,21,12,11,02,1bed8,709,-725,709,725,00,03,02,25,264192
58285000,1143,126,2,22,12,11,03,1bedf,706,-730,706,730,01,00,03,26,266256
