time_ns,iq_count,byte_count,byte
32705000,631,0,6b
32785000,633,1,03
32865000,634,2,02
40635000,790,0,04
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,e8
41035000,798,5,00
52645000,1030,0,04
52725000,1032,1,02
52805000,1033,2,00
52885000,1035,3,2e
52965000,1036,4,00
53045000,1038,5,60
53125000,1040,6,08
55245000,1082,7,cd
55325000,1084,8,37
55405000,1085,9,a6
55485000,1087,10,00
55565000,1088,11,20
55645000,1090,12,d6
55725000,1092,13,01
55805000,1093,14,3c
55885000,1095,15,f1
55965000,1096,16,00
56045000,1098,17,60
56125000,1100,18,08
56205000,1101,19,ad
56285000,1103,20,3b
56365000,1104,21,af
56445000,1106,22,00
56525000,1108,23,00
56605000,1109,24,4a
56685000,1111,25,6f
58805000,1153,26,79
58885000,1155,27,2c
58965000,1156,28,20
59045000,1158,29,62
59125000,1160,30,72
59205000,1161,31,69
59285000,1163,32,67
59365000,1164,33,68
59445000,1166,34,74
59525000,1168,35,20
59605000,1169,36,73
59685000,1171,37,70
59765000,1172,38,61
59845000,1174,39,72
59925000,1176,40,6b
60005000,1177,41,20
60085000,1179,42,6f
60165000,1180,43,66
60245000,1182,44,20
60325000,1184,45,64
62445000,1226,46,69
62525000,1228,47,76
62605000,1229,48,69
62685000,1231,49,6e
62765000,1232,50,69
62845000,1234,51,74
62925000,1236,52,79
63005000,1237,53,2c
63085000,1239,54,0a
63165000,1240,55,44
63245000,1242,56,61
63325000,1244,57,75
63405000,1245,58,67
63485000,1247,59,68
63565000,1248,60,74
63645000,1250,61,65
63725000,1252,62,72
63805000,1253,63,20
63885000,1255,64,6f
66005000,1297,65,66
66085000,1299,66,20
66165000,1300,67,45
66245000,1302,68,6c
66325000,1304,69,79
66405000,1305,70,73
66485000,1307,71,69
66565000,1308,72,75
66645000,1310,73,6d
66725000,1312,74,2c
66805000,1313,75,0a
66885000,1315,76,46
66965000,1316,77,69
67045000,1318,78,72
67125000,1320,79,65
67205000,1321,80,2d
67285000,1323,81,69
67365000,1324,82,6e
67445000,1326,83,73
67525000,1328,84,69
69645000,1370,85,72
69725000,1372,86,65
69805000,1373,87,64
69885000,1375,88,20
69965000,1376,89,77
70045000,1378,90,65
70125000,1380,91,20
70205000,1381,92,74
70285000,1383,93,72
70365000,1384,94,65
70445000,1386,95,61
70525000,1388,96,00
70605000,1389,97,00
70685000,1391,98,00
70765000,1392,99,00
70845000,1394,100,35
70925000,1396,101,48
71005000,1397,102,05
71085000,1399,103,0f
