time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,02,180f8,328,-976,328,976,02,03,02,4,262144
50855000,994,1,0,1,12,8,03,180ff,-976,-336,976,336,03,02,03,5,262144
50865000,994,2,0,2,12,8,02,180f8,968,-976,968,976,08,03,02,6,262144
50875000,995,3,0,3,12,8,03,180ff,968,-976,968,976,01,08,03,6,262144
50885000,995,4,0,4,12,8,08,1f0c0,-968,-328,968,328,01,01,08,7,262144
50895000,995,5,0,5,12,8,01,180c7,320,-976,320,976,08,01,01,8,262144
50915000,995,6,0,6,12,8,08,1f0c0,-334,310,334,310,01,03,08,10,264192
50925000,996,7,0,7,12,8,03,180ff,-980,310,980,310,0e,01,03,11,264192
50935000,996,8,0,8,12,8,01,180c7,314,963,314,963,0c,0e,01,12,264200
50945000,996,9,0,9,12,8,0e,1fef8,308,-977,308,977,07,0c,0e,13,262144
50955000,996,10,0,10,12,8,0c,1fec0,960,968,960,968,03,07,0c,14,262144
50965000,996,11,0,11,12,8,07,18eff,-336,960,336,960,05,03,07,15,262144
50975000,997,12,0,12,12,8,03,180ff,-333,312,333,312,06,05,03,16,264200
50985000,997,13,0,13,12,8,05,18ec7,-326,-980,326,980,0e,06,05,17,264192
50995000,997,14,0,14,12,8,06,18ef8,-984,960,984,960,02,0e,06,18,262144
51005000,997,15,0,15,12,8,0e,1fef8,968,-328,968,328,04,02,0e,19,262144
51015000,997,16,0,16,12,8,02,180f8,968,-328,968,328,09,04,02,19,262144
51025000,998,17,0,17,12,8,04,18ec0,320,320,320,320,09,09,04,20,262144
51035000,998,18,0,18,12,8,09,1f0c7,968,-976,968,976,0f,09,09,21,262144
51055000,998,19,0,19,12,9,0f,1feff,320,-328,320,328,01,01,0f,23,262144
51065000,998,20,0,20,12,9,01,180c7,-976,-328,976,328,0b,01,01,24,262144
51075000,999,21,0,21,12,9,01,180c7,310,318,310,318,08,0b,01,25,264192
51085000,999,22,0,22,12,9,0b,1f0ff,952,960,952,960,0f,08,0b,26,266256
51095000,999,23,0,23,12,9,08,1f0c0,952,960,952,960,05,0f,08,26,262144
51105000,999,24,0,24,12,9,0f,1feff,952,960,952,960,05,05,0f,26,262144
51115000,999,25,0,25,12,9,05,18ec7,952,960,952,960,05,05,05,26,262144
51195000,1001,26,0,26,12,9,0c,1fec0,312,968,312,968,09,07,0c,30,262144
