time_ns,word_index,tdata,tlast,tstrb
55385000,0,0000000000000031,0,ff
55395000,1,0037006801800090,0,ff
55405000,2,cd0860002e000204,0,ff
55415000,3,f13c01d62000a637,0,ff
55555000,4,0000af3bad086000,0,ff
56195000,5,697262202c796f4a,0,ff
56835000,6,7261707320746867,0,ff
57475000,7,76696420666f206b,0,ff
59115000,8,440a2c7974696e69,0,ff
59755000,9,2072657468677561,0,ff
60395000,10,6973796c4520666f,0,ff
61035000,11,657269460a2c6d75,0,ff
62675000,12,64657269736e692d,0,ff
63315000,13,6165727420657720,0,ff
63955000,14,8105483500000000,1,ff
