time_ns,iq_count,byte_count,byte
32705000,631,0,ab
32785000,633,1,02
32865000,634,2,00
40635000,790,0,07
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,7c
41035000,798,5,01
52645000,1030,0,04
52725000,1032,1,02
52805000,1033,2,00
52885000,1035,3,2e
52965000,1036,4,00
53045000,1038,5,60
53125000,1040,6,08
53205000,1041,7,cd
53285000,1043,8,37
53365000,1044,9,a6
53445000,1046,10,00
53525000,1048,11,20
53605000,1049,12,d6
53685000,1051,13,01
53765000,1052,14,3c
53845000,1054,15,f1
53925000,1056,16,00
54005000,1057,17,60
54085000,1059,18,08
54165000,1060,19,ad
55245000,1082,20,3b
55325000,1084,21,af
55405000,1085,22,00
55485000,1087,23,00
55565000,1088,24,4a
55645000,1090,25,6f
55725000,1092,26,79
55805000,1093,27,2c
55885000,1095,28,20
55965000,1096,29,62
56045000,1098,30,72
56125000,1100,31,69
56205000,1101,32,67
56285000,1103,33,68
56365000,1104,34,74
56445000,1106,35,20
56525000,1108,36,73
56605000,1109,37,70
56685000,1111,38,61
56765000,1112,39,72
56845000,1114,40,6b
56925000,1116,41,20
57005000,1117,42,6f
57085000,1119,43,66
57165000,1120,44,20
57245000,1122,45,64
57325000,1124,46,69
57405000,1125,47,76
57485000,1127,48,69
57565000,1128,49,6e
57645000,1130,50,69
57725000,1132,51,74
58805000,1153,52,79
58885000,1155,53,2c
58965000,1156,54,0a
59045000,1158,55,44
59125000,1160,56,61
59205000,1161,57,75
59285000,1163,58,67
59365000,1164,59,68
59445000,1166,60,74
59525000,1168,61,65
59605000,1169,62,72
59685000,1171,63,20
59765000,1172,64,6f
59845000,1174,65,66
59925000,1176,66,20
60005000,1177,67,45
60085000,1179,68,6c
60165000,1180,69,79
60245000,1182,70,73
60325000,1184,71,69
60405000,1185,72,75
60485000,1187,73,6d
60565000,1188,74,2c
60645000,1190,75,0a
60725000,1192,76,46
60805000,1193,77,69
60885000,1195,78,72
60965000,1196,79,65
61045000,1198,80,2d
61125000,1200,81,69
61205000,1201,82,6e
61285000,1203,83,73
61365000,1204,84,69
62445000,1226,85,72
62525000,1228,86,65
62605000,1229,87,64
62685000,1231,88,20
62765000,1232,89,77
62845000,1234,90,65
62925000,1236,91,20
63005000,1237,92,74
63085000,1239,93,72
63165000,1240,94,65
63245000,1242,95,61
63325000,1244,96,00
63405000,1245,97,00
63485000,1247,98,00
63565000,1248,99,00
63645000,1250,100,35
63725000,1252,101,48
63805000,1253,102,05
63885000,1255,103,0f
