time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,03,0003f,-1112,1096,1112,1096,1c,0e,03,4,262144
50855000,994,1,0,1,12,8,0e,00ff8,1096,152,1096,152,08,1c,0e,5,262144
50865000,994,2,0,2,12,8,1c,07fc0,776,152,776,152,19,08,1c,6,262144
50875000,995,3,0,3,12,8,08,00e00,776,152,776,152,1d,19,08,6,262144
50885000,995,4,0,4,12,8,19,07e07,-1112,464,1112,464,1d,1d,19,7,262144
50895000,995,5,0,5,12,8,1d,07fc7,1104,-1112,1104,1112,38,1d,1d,8,262144
50915000,995,6,0,6,12,8,38,3fe00,151,-788,151,788,1d,01,38,10,264192
50925000,996,7,0,7,12,8,01,00007,-796,462,796,462,23,1d,01,11,264192
50935000,996,8,0,8,12,8,1d,07fc7,-481,1093,481,1093,3c,23,1d,12,264200
50945000,996,9,0,9,12,8,23,3803f,-174,464,174,464,0e,3c,23,13,262144
50955000,996,10,0,10,12,8,3c,3ffc0,-1112,-1120,1112,1120,3a,0e,3c,14,262144
50965000,996,11,0,11,12,8,0e,00ff8,152,-160,152,160,00,3a,0e,15,262144
50975000,997,12,0,12,12,8,3a,3fe38,777,-791,777,791,13,00,3a,16,264200
50985000,997,13,0,13,12,8,00,00000,-159,-167,159,167,25,13,00,17,264192
50995000,997,14,0,14,12,8,13,0703f,-480,464,480,464,12,25,13,18,262144
51005000,997,15,0,15,12,8,25,381c7,784,784,784,784,3e,12,25,19,262144
51015000,997,16,0,16,12,8,12,07038,784,784,784,784,2d,3e,12,19,262144
51025000,998,17,0,17,12,8,3e,3fff8,-472,-168,472,168,2d,2d,3e,20,262144
51035000,998,18,0,18,12,8,2d,38fc7,-800,776,800,776,16,2d,2d,21,262144
51055000,998,19,0,19,12,9,16,071f8,144,1104,144,1104,08,2c,16,23,262144
51065000,998,20,0,20,12,9,2c,38fc0,-488,464,488,464,0b,08,2c,24,262144
51075000,999,21,0,21,12,9,08,00e00,780,-159,780,159,3e,0b,08,25,264192
51085000,999,22,0,22,12,9,0b,00e3f,-785,-1103,785,1103,15,3e,0b,26,266256
51095000,999,23,0,23,12,9,3e,3fff8,-785,-1103,785,1103,04,15,3e,26,262144
51105000,999,24,0,24,12,9,15,071c7,-785,-1103,785,1103,04,04,15,26,262144
