time_ns,iq_count,byte_count,byte
32705000,631,0,ab
32785000,633,1,02
32865000,634,2,00
40635000,790,0,06
40715000,791,1,68
40795000,793,2,00
40875000,795,3,87
40955000,796,4,f0
41035000,798,5,01
52645000,1030,0,04
52725000,1032,1,02
52805000,1033,2,00
52885000,1035,3,2e
52965000,1036,4,00
53045000,1038,5,60
53125000,1040,6,08
53205000,1041,7,cd
53285000,1043,8,37
53365000,1044,9,a6
53445000,1046,10,00
53525000,1048,11,20
53605000,1049,12,d6
53685000,1051,13,01
53765000,1052,14,3c
53845000,1054,15,f1
55185000,1081,16,00
55265000,1082,17,60
55345000,1084,18,08
55425000,1086,19,ad
55505000,1087,20,3b
55585000,1089,21,af
55665000,1090,22,00
55745000,1092,23,00
55825000,1094,24,4a
55905000,1095,25,6f
55985000,1097,26,79
56065000,1098,27,2c
56145000,1100,28,20
56225000,1102,29,62
56305000,1103,30,72
56385000,1105,31,69
56465000,1106,32,67
56545000,1108,33,68
56625000,1110,34,74
56705000,1111,35,20
56785000,1113,36,73
56865000,1114,37,70
56945000,1116,38,61
57025000,1118,39,72
57105000,1119,40,6b
57185000,1121,41,20
57265000,1122,42,6f
57345000,1124,43,66
57425000,1126,44,20
57505000,1127,45,64
58845000,1154,46,69
58925000,1156,47,76
59005000,1157,48,69
59085000,1159,49,6e
59165000,1160,50,69
59245000,1162,51,74
59325000,1164,52,79
59405000,1165,53,2c
59485000,1167,54,0a
59565000,1168,55,44
59645000,1170,56,61
59725000,1172,57,75
59805000,1173,58,67
59885000,1175,59,68
59965000,1176,60,74
60045000,1178,61,65
60125000,1180,62,72
60205000,1181,63,20
60285000,1183,64,6f
60365000,1184,65,66
60445000,1186,66,20
60525000,1188,67,45
60605000,1189,68,6c
60685000,1191,69,79
60765000,1192,70,73
60845000,1194,71,69
60925000,1196,72,75
61005000,1197,73,6d
61085000,1199,74,2c
62425000,1226,75,0a
62505000,1227,76,46
62585000,1229,77,69
62665000,1230,78,72
62745000,1232,79,65
62825000,1234,80,2d
62905000,1235,81,69
62985000,1237,82,6e
63065000,1238,83,73
63145000,1240,84,69
63225000,1242,85,72
63305000,1243,86,65
63385000,1245,87,64
63465000,1246,88,20
63545000,1248,89,77
63625000,1250,90,65
63705000,1251,91,20
63785000,1253,92,74
63865000,1254,93,72
63945000,1256,94,65
64025000,1258,95,61
64105000,1259,96,00
64185000,1261,97,00
64265000,1262,98,00
64345000,1264,99,00
64425000,1266,100,35
64505000,1267,101,48
64585000,1269,102,05
64665000,1270,103,0f
