time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
50845000,994,0,0,0,12,8,07,001ff,-472,1104,472,1104,0d,04,07,4,262144
50855000,994,1,0,1,12,8,04,001c0,472,144,472,144,0e,0d,04,5,262144
50865000,994,2,0,2,12,8,0d,00fc7,-480,472,480,472,1f,0e,0d,6,262144
50875000,995,3,0,3,12,8,0e,00ff8,-480,472,480,472,3e,1f,0e,6,262144
50885000,995,4,0,4,12,8,1f,07fff,-1104,472,1104,472,3e,3e,1f,7,262144
50895000,995,5,0,5,12,8,3e,3fff8,-480,-160,480,160,38,3e,3e,8,262144
50915000,995,6,0,6,12,8,38,3fe00,-159,159,159,159,3b,16,38,10,264192
50925000,996,7,0,7,12,8,16,071f8,-1115,-159,1115,159,1a,3b,16,11,264192
50935000,996,8,0,8,12,8,3b,3fe3f,462,149,462,149,10,1a,3b,12,264200
50945000,996,9,0,9,12,8,1a,07e38,155,775,155,775,1f,10,1a,13,262144
50955000,996,10,0,10,12,8,10,07000,-808,-168,808,168,2b,1f,10,14,262144
50965000,996,11,0,11,12,8,1f,07fff,-160,472,160,472,14,2b,1f,15,262144
50975000,997,12,0,12,12,8,2b,38e3f,-178,-796,178,796,3a,14,2b,16,264200
50985000,997,13,0,13,12,8,14,071c0,1099,772,1099,772,22,3a,14,17,264192
50995000,997,14,0,14,12,8,3a,3fe38,784,1096,784,1096,29,22,3a,18,262144
51005000,997,15,0,15,12,8,22,38038,-1112,-1112,1112,1112,0d,29,22,19,262144
51015000,997,16,0,16,12,8,29,38e07,-1112,-1112,1112,1112,00,0d,29,19,262144
51025000,998,17,0,17,12,8,0d,00fc7,-792,784,792,784,00,00,0d,20,262144
51035000,998,18,0,18,12,8,00,00000,784,-1112,784,1112,2c,00,00,21,262144
51055000,998,19,0,19,12,9,2c,38fc0,-1120,-792,1120,792,2d,05,2c,23,262144
51065000,998,20,0,20,12,9,05,001c7,1096,-1112,1096,1112,20,2d,05,24,262144
51075000,999,21,0,21,12,9,2d,38fc7,-167,788,167,788,01,20,2d,25,264192
51085000,999,22,0,22,12,9,20,38000,777,777,777,777,2a,01,20,26,266256
51095000,999,23,0,23,12,9,01,00007,777,777,777,777,2d,2a,01,26,262144
51105000,999,24,0,24,12,9,2a,38e38,777,777,777,777,2d,2d,2a,26,262144
51115000,999,25,0,25,12,9,2d,38fc7,777,777,777,777,2d,2d,2d,26,262144
51195000,1001,26,0,26,12,9,0c,00fc0,160,464,160,464,2c,2b,0c,30,262144
51205000,1001,27,0,27,12,9,2b,38e3f,160,464,160,464,3b,2c,2b,31,262144
51215000,1001,28,0,28,12,9,2c,38fc0,473,465,473,465,3b,3b,2c,32,260096
51225000,1002,29,0,29,12,9,3b,3fe3f,-1120,161,1120,161,3f,3b,3b,33,258064
51235000,1002,30,0,30,12,9,3b,3fe3f,-1120,161,1120,161,18,3f,3b,33,258064
51245000,1002,31,0,31,12,9,3f,3ffff,467,-169,467,169,18,18,3f,34,258064
51255000,1002,32,0,32,12,9,18,07e00,152,464,152,464,17,18,18,35,262144
51275000,1003,33,0,33,12,9,17,071ff,-1120,-160,1120,160,0e,3b,17,37,262144
51285000,1003,34,0,34,12,9,3b,3fe3f,-168,-161,168,161,10,0e,3b,38,258064
51295000,1003,35,0,35,12,9,0e,00ff8,460,-801,460,801,12,10,0e,39,260104
51305000,1003,36,0,36,12,9,10,07000,778,1106,778,1106,27,12,10,40,260112
51315000,1003,37,0,37,12,9,12,07038,1102,460,1102,460,0d,27,12,41,262144
51325000,1004,38,0,38,12,9,27,381ff,152,-800,152,800,39,0d,27,42,262144
51335000,1004,39,0,39,12,9,0d,00fc7,-1120,-792,1120,792,23,39,0d,43,262144
51345000,1004,40,0,40,12,9,39,3fe07,472,144,472,144,20,23,39,44,262144
51355000,1004,41,0,41,12,9,23,3803f,-1120,-480,1120,480,1f,20,23,45,262144
51365000,1004,42,0,42,12,9,20,38000,464,-168,464,168,30,1f,20,46,262144
51375000,1005,43,0,43,12,9,1f,07fff,464,-168,464,168,17,30,1f,46,262144
51385000,1005,44,0,44,12,9,30,3f000,464,-168,464,168,17,17,30,47,262144
51395000,1005,45,0,45,12,9,17,071ff,-168,-1108,168,1108,17,17,17,48,260096
51415000,1005,46,0,46,12,9,17,071ff,-177,-798,177,798,32,02,17,50,258064
51425000,1006,47,0,47,12,9,02,00038,1104,145,1104,145,22,32,02,51,258064
51435000,1006,48,0,48,12,9,32,3f038,-176,-161,176,161,19,22,32,0,258064
51445000,1006,49,0,49,12,9,22,38038,-176,-161,176,161,12,19,22,0,258064
51455000,1006,50,0,50,12,9,19,07e07,-176,-161,176,161,12,12,19,0,258064
51465000,1006,51,0,51,12,9,12,07038,-176,-161,176,161,12,12,12,0,258064
54445000,1066,52,1,0,12,9,34,3f1c0,-1112,-480,1112,480,2c,1d,34,4,262144
54455000,1066,53,1,1,12,9,1d,07fc7,1096,-168,1096,168,30,2c,1d,5,262144
54465000,1066,54,1,2,12,9,2c,38fc0,-480,-160,480,160,11,30,2c,6,262144
54475000,1067,55,1,3,12,9,30,3f000,-480,-160,480,160,16,11,30,6,262144
54485000,1067,56,1,4,12,9,11,07007,-800,-472,800,472,16,16,11,7,262144
54495000,1067,57,1,5,12,9,16,071f8,-1104,792,1104,792,34,16,16,8,262144
54515000,1067,58,1,6,12,9,34,3f1c0,151,151,151,151,3f,28,34,10,264192
54525000,1068,59,1,7,12,9,28,38e00,-1115,-159,1115,159,1b,3f,28,11,264192
54535000,1068,60,1,8,12,9,3f,3ffff,-165,470,165,470,10,1b,3f,12,264200
54545000,1068,61,1,9,12,9,1b,07e3f,-800,-156,800,156,3a,10,1b,13,262144
54555000,1068,62,1,10,12,9,10,07000,-1120,-800,1120,800,14,3a,10,14,262144
54565000,1068,63,1,11,12,9,3a,3fe38,-488,-480,488,480,20,14,3a,15,262144
54575000,1069,64,1,12,12,9,14,071c0,139,-1116,139,1116,36,20,14,16,264200
54585000,1069,65,1,13,12,9,20,38000,-1115,-167,1115,167,03,36,20,17,264192
54595000,1069,66,1,14,12,9,36,3f1f8,-160,152,160,152,10,03,36,18,262144
54605000,1069,67,1,15,12,9,03,0003f,-168,-480,168,480,1a,10,03,19,262144
54615000,1069,68,1,16,12,9,10,07000,-168,-480,168,480,32,1a,10,19,262144
54625000,1070,69,1,17,12,9,1a,07e38,-480,472,480,472,32,32,1a,20,262144
