time_ns,word_index,tdata,tlast,tstrb
55905000,0,0000000000000031,0,ff
55915000,1,003500680180008f,0,ff
55925000,2,cd0860002e000204,0,ff
55935000,3,f13c01d62000a637,0,ff
56075000,4,0000af3bad086000,0,ff
56715000,5,697262202c796f4a,0,ff
58875000,6,7261707320746867,0,ff
59515000,7,76696420666f206b,0,ff
60155000,8,440a2c7974696e69,0,ff
60795000,9,2072657468677561,0,ff
62955000,10,6973796c4520666f,0,ff
63595000,11,657269460a2c6d75,0,ff
64235000,12,64657269736e692d,0,ff
66395000,13,6165727420657720,0,ff
67035000,14,8105483500000000,1,ff
